Name,Description,Property 1 Type,Property 1 Name,Property 1 Value,Property 2 Type,Property 2 Name,Property 2 Value,Property 3 Type,Property 3 Name,Property 3 Value,Property 4 Type,Property 4 Name,Property 4 Value,Property 5 Type,Property 5 Name,Property 5 Value,Property 6 Type,Property 6 Name,Property 6 Value,Property 7 Type,Property 7 Name,Property 7 Value
GameItem1,GI1,string,isLocked,true,string,isa,TestItem,string,,,,,,,,,,,,,,
Cookie,It's a double-chunk chocolate cookie.,string,isa,Cookie,string,isa,Food,string,isa,Dessert,string,contains,Gluten,,,,,,,,,
Spam,It's spam! What's it made of?,string,isa,Spam,string,isa,Food,string,isa,Meat,string,is,Digusting,,,,,,,,,
Tankard,It's a tankard! No beer though...,string,isa,Tankard,string,isa,Container,string,contains,Empty,,,,,,,,,,,,
Jug,Nice jug.,string,isa,Jug,string,isa,Container,string,contains,Empty,string,is,Fragile,,,,,,,,,
BeerBottle,It's a bottle of Carlsberg!,string,isa,BeerBottle,string,isa,Container,string,contains,Beer,string,isa,Drink,string,isa,Alcohol,string,is,Fragile,,,
Custard,Tastes... custardy?,string,isa,Custard,string,isa,Dessert,string,isa,Food,string,isa,Liquid,string,is,Yellow,,,,,,
Sushi,Savour some sushi!,string,isa,Sushi,string,isa,Food,string,contains,Fish,string,contains,Rice,,,,,,,,,
Sake,A fine vintage!,string,isa,Drink,string,isa,Sake,string,isa,Alcohol,,,,,,,,,,,,
PigHead,A pig's head? Best keep this away from prime ministers...,string,isa,PigsHead,string,isa,Meat,string,isa,Food,string,is,Pork,,,,,,,,,
Marmalade,A favourite of Peruvian bears.,string,isa,Marmalade,string,isa,Spread,string,contains,Oranges,string,is,Orange,,,,,,,,,
StrawberryJam,Doesn't shake... musn't be jelly...,string,isa,Jam,string,isa,Spread,string,contains,Strawberries,string,is,Red,,,,,,,,,
Apple,Looks like it fell far from the tree...,string,isa,Apple,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,,,,
Radish,A ravishing radish!,string,isa,Radish,string,isa,Food,string,isa,Vegetable,string,is,Spicy,string,is,Red,,,,,,
Potato,The most versatile tubor!,string,isa,Potato,string,isa,Vegetable,string,isa,Food,string,is,Brown,,,,,,,,,
FriedEggs,"Eggs, but fried.",string,isa,FriedEggs,string,contains,Eggs,string,isa,Food,string,is,Fried,,,,,,,,,
Honeycomb,Thank Crunchie it's Friday!,string,isa,Honeycomb,string,isa,Dessert,string,is,Sweet,,,,,,,,,,,,
Pineapple,A pineapple! At least it's not upside down...,string,isa,Fruit,string,isa,Pineapple,string,isa,Food,,,,,,,,,,,,
Bacon,"Bacon, like the Kevin!",string,isa,Bacon,string,isa,Food,string,isa,Meat,string,is,Fried,string,is,Pork,,,,,,
PintOfBeer,A pint of Carlsberg!,string,isa,PintOfBeer,string,isa,Drink,string,isa,Alcohol,string,isa,Container,string,contains,Beer,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
